,PUBMEDID,COLLECTIVE,Clean_Name
73,30019117,disco (deciphering disorders involving scoliosis and comorbidities) study,
348,29808027,uk biobank eye and vision consortium,
357,30012571,research consortium on genetics of childhood idiopathic nephrotic syndrome in japan,
653,30014611,united dystrophinopathy project,
669,29503163,chinese antipsychotics pharmacogenomics consortium,
910,27618452,charge-echogen consortium,
1014,30053915,milieu intã©rieur consortium,
