Broader,N (Initial),N (Replication),Total,% Discovery,% Replication,% Total
African,364922,143454,508376,0.3118300442943725,0.280667471048231,0.302357014526496
African Am./Caribbean,2289950,1002735,3292685,1.9567886012131313,1.9618490706536447,1.9583269201854052
Asian,11607308,9183808,20791116,9.918578128417646,17.968102429716232,12.365532130616046
European,100678946,39199644,139878590,86.03131680383954,76.69402698754278,83.19289830475037
Hispanic/Latin American,1520762,678596,2199358,1.2995086123094757,1.3276717497138133,1.3080698513599485
Other/Mixed,564039,903493,1467532,0.48197780992582956,1.7676822913252985,0.8728157785617294
