Continent,N,Count,N (%),Count (%)
Africa,46104,48,0.10563844513516675,0.8352183748042457
Asia,5901733,1377,13.522685617796787,23.9603271271968
Europe,27702658,1705,63.47531054206335,29.66765268835914
North America,9635279,2470,22.077387905681164,42.97894553680181
Oceania,331082,117,0.7586106995540794,2.035844788585349
Seven seas (open ocean),1389,1,0.0031826262426849434,0.017400382808421787
South America,24957,29,0.05718416352677331,0.5046111014442318
