,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution,CitePercentile
Anne U Jackson,51,14370,40,0.0,0.145,,,0.9978
Wendy L McArdle,50,9515,40,0.001,0.141,,,0.9929
Francis S Collins,46,15326,40,0.0,0.134,,,0.9982
Cisca Wijmenga,56,8457,39,0.005,0.138,,,0.9909
Kay-Tee Khaw,62,10660,39,0.005,0.214,,,0.9947
Timothy M Frayling,60,13386,39,0.001,0.138,U.K,University of Exeter,0.997
Atsushi Takahashi,117,5443,39,0.01,0.134,,,0.9811
Gerard Waeber,59,9920,39,0.001,0.141,,,0.9934
Stefania Bandinelli,69,8004,39,0.001,0.154,,,0.99
David M Evans,81,5729,39,0.002,0.155,,,0.9824
Anna-Liisa Hartikainen,44,8842,39,0.0,0.136,,,0.9919
Jouke-Jan Hottenga,66,8555,39,0.001,0.183,,,0.9912
Jeanette Erdmann,51,9918,38,0.001,0.131,,,0.9934
Benjamin F Voight,40,14683,38,0.0,0.113,,,0.9979
Jaakko Tuomilehto,49,15134,38,0.001,0.142,,,0.9981
Nicholas J Timpson,73,9337,38,0.001,0.136,,,0.9924
Timothy D Spector,59,7310,38,0.001,0.15,,,0.9884
John C Chambers,57,7167,38,0.001,0.155,U.K,Imperial College,0.9878
Jaspal S Kooner,59,8233,38,0.001,0.163,,,0.9905
Frank B Hu,62,9386,38,0.003,0.132,,,0.9926
Anneli Pouta,42,8518,37,0.0,0.132,,,0.9911
Thorunn Rafnar,54,6143,37,0.001,0.074,,,0.9842
Naoyuki Kamatani,73,3944,37,0.002,0.054,,,0.9705
Markus M Nothen,80,7971,37,0.011,0.196,,,0.9899
Mika Kahonen,83,7043,37,0.002,0.208,,,0.9874
Jacqueline C M Witteman,54,7497,37,0.0,0.106,,,0.9889
Yurii S Aulchenko,53,8154,37,0.0,0.1,,,0.9903
Douglas F Easton,69,5794,37,0.002,0.127,,,0.983
Colin N A Palmer,50,11342,36,0.002,0.144,,,0.9954
Ingrid B Borecki,55,9212,36,0.001,0.148,,,0.9922
Peter P Pramstaller,60,10137,36,0.0,0.148,,,0.994
Aarno Palotie,67,4783,36,0.004,0.163,,,0.9773
Samuli Ripatti,55,9885,36,0.001,0.141,,,0.9932
Vincent Mooser,44,10084,36,0.0,0.107,,,0.9937
Nicole L Glazer,50,8594,36,0.001,0.114,,,0.9913
Andre Franke,74,6526,36,0.007,0.13,,,0.9856
Claudia Langenberg,56,9221,35,0.001,0.169,,,0.9923
Thor Aspelund,43,7135,35,0.001,0.125,,,0.9877
Johan G Eriksson,61,7394,35,0.001,0.178,,,0.9885
Lude Franke,55,5904,35,0.003,0.163,,,0.9834
Reedik Magi,44,7708,35,0.001,0.159,,,0.9894
Erik Ingelsson,68,10110,35,0.001,0.179,,,0.9938
Gudny Eiriksdottir,54,6193,35,0.001,0.146,,,0.9846
Heribert Schunkert,45,8682,34,0.001,0.127,,,0.9915
Toby Johnson,39,10542,34,0.0,0.118,,,0.9945
Michael A Nalls,52,5853,34,0.003,0.15,,,0.9832
Braxton D Mitchell,64,5253,34,0.001,0.133,,,0.9803
Sarah H Wild,47,7594,34,0.0,0.13,,,0.9891
Cecilia M Lindgren,50,12764,34,0.001,0.147,,,0.9964
Diana Zelenika,44,8779,34,0.005,0.122,,,0.9917
Jaakko Kaprio,50,9354,34,0.001,0.143,,,0.9925
David S Siscovick,60,7693,34,0.001,0.135,,,0.9893
Andrew A Hicks,54,9623,34,0.0,0.143,,,0.993
Zhaoming Wang,70,5968,34,0.005,0.171,,,0.9836
Abbas Dehghan,67,6171,34,0.0,0.133,,,0.9843
Sonja I Berndt,59,7491,33,0.003,0.143,,,0.9888
Harold Snieder,52,5357,33,0.001,0.163,,,0.9809
Markku Laakso,44,10946,33,0.0,0.138,,,0.995
Jianjun Liu,76,6628,33,0.011,0.177,,,0.986
Christopher A Haiman,66,5771,33,0.004,0.173,,,0.9828
Anders Hamsten,51,8623,33,0.001,0.162,,,0.9914
Loic Le Marchand,73,5880,33,0.003,0.165,,,0.9833
Andrew P Morris,67,9351,33,0.002,0.174,,,0.9924
Weihua Zhang,52,7287,33,0.001,0.156,,,0.9883
Johanna Kuusisto,41,10897,33,0.0,0.137,,,0.995
Josee Dupuis,47,5925,32,0.001,0.12,,,0.9835
Anke Tonjes,47,7396,32,0.0,0.144,,,0.9886
David Altshuler,34,11556,32,0.001,0.106,,,0.9958
Ulf Gyllensten,47,9194,32,0.0,0.132,,,0.9922
Lori L Bonnycastle,34,13013,32,0.0,0.12,,,0.9966
