,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution,CitePercentile
Michelle Cotterchio,12,964,9,0.0,0.022,,,0.8437
Robert P Igo,13,687,9,0.0,0.037,,,0.7792
Germaine C Verwoert,10,1776,9,0.0,0.049,,,0.9224
Lennart C Karssen,13,624,9,0.0,0.035,,,0.7646
Kee-Seng Chia,9,663,9,0.0,0.028,,,0.773
Nikolaus Becker,9,335,8,0.0,0.016,,,0.6402
Daniel R Witte,10,1753,8,0.0,0.05,,,0.9213
Marine Germain,12,262,8,0.0,0.008,,,0.58
Jared W Magnani,10,607,8,0.0,0.026,,,0.758
Andrew Berchuck,10,705,8,0.0,0.034,,,0.7852
Mario Falchi,11,1063,8,0.0,0.034,,,0.8597
Andrei Manolescu,8,2606,8,0.0,0.012,,,0.9507
David A Collier,9,1314,8,0.0,0.021,,,0.8867
Jason L Stein,8,731,8,0.0,0.029,,,0.7919
Nilufer Ertekin-Taner,11,880,8,0.0,0.031,,,0.8285
Seong-Tae Kim,12,203,8,0.0,0.006,,,0.5184
Olivier Cussenot,13,1309,8,0.0,0.029,,,0.8863
Veronique Bataille,12,336,8,0.0,0.033,,,0.6409
Marieke J H Coenen,8,1226,8,0.0,0.015,,,0.8781
Maris Laan,8,1612,8,0.0,0.047,,,0.9144
Maria Sabater-Lleal,12,493,8,0.0,0.032,,,0.7197
Valerie McGuire,8,686,8,0.0,0.035,,,0.7788
Sergio E Baranzini,8,1427,8,0.0,0.017,,,0.9006
Daan W Loth,9,385,8,0.0,0.028,,,0.6683
Jean-Claude Tardif,12,1794,8,0.001,0.068,,,0.9231
James T Becker,9,782,8,0.0,0.047,,,0.8085
Jana V Van Vliet-Ostaptchouk,8,1781,8,0.0,0.06,,,0.9227
Kari Kuulasmaa,8,762,8,0.0,0.057,,,0.8009
Philip J Thompson,11,606,8,0.0,0.026,,,0.7575
Daniel F Schmidt,9,783,8,0.0,0.051,,,0.8086
Daniela Galimberti,11,2360,8,0.0,0.047,,,0.9449
Shannon L Risacher,9,671,8,0.0,0.027,,,0.7756
Adam C Naj,8,1032,8,0.0,0.034,,,0.8547
Abel N Kho,9,835,8,0.0,0.033,,,0.8194
Daniel E Weeks,12,721,8,0.0,0.016,,,0.7902
Shannon K McDonnell,11,912,8,0.0,0.028,,,0.8342
Jason J Corneveaux,8,425,8,0.0,0.006,,,0.6892
Jean Tichet,8,2388,8,0.0,0.04,,,0.9459
Jan A Staessen,11,1261,8,0.0,0.079,,,0.8812
Marie-France Hivert,10,1055,8,0.0,0.07,,,0.8585
Alireza Moayyeri,8,1810,8,0.0,0.062,,,0.9236
Phil H Lee,8,656,8,0.0,0.034,,,0.7709
John R Kelsoe,14,217,8,0.0,0.015,,,0.5331
Norman Delanty,9,662,8,0.0,0.03,,,0.7726
Josyf C Mychaleckyj,12,647,8,0.0,0.034,,,0.7689
Christopher G Chute,11,533,8,0.0,0.004,,,0.7341
W Maier,8,1070,8,0.001,0.018,,,0.8602
John Kramer,9,528,8,0.0,0.004,,,0.7325
Christopher K Edlund,13,405,8,0.0,0.029,,,0.6791
John J P Kastelein,10,3688,8,0.0,0.073,,,0.9681
John D Reveille,9,848,8,0.0,0.018,,,0.8221
John D Eicher,12,228,8,0.0,0.074,,,0.5471
N William Rayner,10,2028,8,0.0,0.062,,,0.9333
Peter M Andersen,12,412,8,0.0,0.017,,,0.6832
Martha L Slattery,13,458,8,0.0,0.02,,,0.7038
Chunyan He,8,597,8,0.0,0.041,,,0.7549
Peter M Rothwell,11,539,8,0.0,0.032,,,0.7365
Judy Garber,8,564,8,0.0,0.05,,,0.7452
Claire Palles,11,399,8,0.0,0.021,,,0.6762
Volker Arndt,9,891,8,0.0,0.06,,,0.8307
John R Gilbert,9,1308,8,0.0,0.027,,,0.8861
Joshua D Smith,9,1796,8,0.0,0.043,,,0.9232
Jennifer A Nettleton,8,334,8,0.0,0.029,,,0.6395
John W Holloway,11,799,8,0.0,0.039,,,0.8132
Ryota Hashimoto,12,362,8,0.001,0.033,,,0.6547
O L Lopez,8,1000,8,0.0,0.017,,,0.8499
Ryoichi Takayanagi,8,962,8,0.0,0.037,,,0.8433
Nuria Malats,10,423,8,0.0,0.022,,,0.6883
Jordi Sunyer,11,201,8,0.0,0.024,,,0.5154
Joo-Yeon Hwang,16,311,8,0.0,0.033,,,0.6228
Jonine Figueroa,9,720,8,0.0,0.053,,,0.7899
Mary E Comeau,8,277,8,0.0,0.019,,,0.5921
Peter Heutink,10,1262,8,0.0,0.024,,,0.8813
Mary Carrington,8,996,8,0.0,0.008,,,0.8494
Joseph M Massaro,8,633,8,0.0,0.013,,,0.7666
Joseph P Miletich,8,562,8,0.0,0.002,,,0.7446
Jon T Bergthorsson,8,2133,8,0.0,0.014,,,0.9373
Peter Holmans,8,1134,8,0.0,0.016,,,0.868
Jon H Olafsson,8,716,8,0.0,0.014,,,0.7888
Christina Loley,8,824,8,0.0,0.037,,,0.8176
Josephine M Egan,8,1756,8,0.0,0.047,,,0.9214
Salvatore Panico,8,1056,8,0.0,0.034,,,0.8587
Vladimir Bencko,9,1110,8,0.0,0.018,,,0.8655
Peter R Schofield,13,490,8,0.0,0.051,,,0.7189
Johan Eriksson,10,607,8,0.0,0.044,,,0.758
Sarah Bertelsen,9,714,8,0.0,0.006,,,0.7879
Sarah Cohen-Woods,9,280,8,0.0,0.008,,,0.5942
Jia Nee Foo,11,253,8,0.0,0.021,,,0.5723
Zheng Zhang,8,806,8,0.0,0.011,,,0.8143
Jessica N Cooke Bailey,12,359,8,0.0,0.022,,,0.6527
Zheng Li,8,201,8,0.0,0.018,,,0.5154
Jerzy Adamski,8,995,8,0.0,0.009,,,0.8492
Sarah L Spain,9,1860,8,0.0,0.018,,,0.9269
Ronny Myhre,10,526,8,0.0,0.046,,,0.7311
Rong Zhang,9,758,8,0.0,0.032,,,0.7995
Jennifer Sambrook,8,766,8,0.0,0.033,,,0.8023
Marjan Kerkhof,8,417,8,0.0,0.025,,,0.6857
Kaixin Zhou,9,508,8,0.0,0.021,,,0.7246
D Gareth Evans,8,1691,8,0.0,0.043,,,0.9183
Maristella Steri,10,318,8,0.0,0.033,,,0.6272
Kan Zhai,8,380,8,0.0,0.013,,,0.6658
Jennifer Huffman,10,649,8,0.0,0.037,,,0.7693
Jian Gong,13,1262,8,0.0,0.064,,,0.8813
Cristina Barlassina,10,377,8,0.001,0.056,,,0.6644
Sara M Willems,11,747,8,0.0,0.073,,,0.7964
Jin-Xin Bei,11,305,8,0.0,0.012,,,0.6158
Joel Gelernter,20,279,8,0.0,0.01,,,0.5932
Joban Sehmi,9,1292,8,0.0,0.062,,,0.8845
Rozenn N Lemaitre,14,276,8,0.0,0.03,,,0.5908
Peter Sever,13,1420,8,0.0,0.07,,,0.8995
Jun Ding,8,1067,8,0.0,0.03,,,0.86
Jun Liang,10,321,8,0.0,0.017,,,0.6288
Nobuhisa Mizuki,9,351,8,0.001,0.015,,,0.6483
Ross McManus,8,1453,8,0.0,0.015,,,0.9033
Craig P Hersh,13,736,8,0.0,0.005,,,0.793
Maria M Groen-Blokhuis,8,238,8,0.0,0.022,,,0.5579
Junjie Feng,11,180,8,0.0,0.008,,,0.4866
Sanjay M Sisodiya,9,662,8,0.0,0.03,,,0.7726
Jurgen Grassler,8,3428,8,0.0,0.074,,,0.9646
Jianfeng Huang,9,440,8,0.0,0.019,,,0.6954
Corrado Masciullo,9,421,8,0.0,0.042,,,0.6875
Jian-Jun Liu,11,860,8,0.0,0.016,,,0.8246
Connie R Bezzina,9,376,8,0.0,0.025,,,0.6638
Yutao Liu,8,271,8,0.0,0.012,,,0.5865
Sheila Seal,8,1492,8,0.0,0.036,,,0.9061
Helen N Lyon,8,2510,8,0.0,0.025,,,0.9484
Elizabeth J Atkinson,9,717,8,0.0,0.034,,,0.7893
Elizabeth M Gillanders,9,752,8,0.0,0.031,,,0.7982
Lars Bertram,13,1224,8,0.0,0.064,,,0.8779
Gyungah Jun,9,1045,8,0.0,0.035,,,0.8573
Lars Lannfelt,8,737,8,0.0,0.081,,,0.7934
Ella Barclay,9,1375,8,0.0,0.011,,,0.8947
Gunter Schumann,11,750,8,0.0,0.045,,,0.7977
Steven A Narod,9,712,8,0.0,0.039,,,0.787
Gudmundur Thorgeirsson,9,2022,8,0.0,0.021,,,0.9332
Thomas Kocher,9,1412,8,0.0,0.05,,,0.8988
Rex L Chisholm,9,468,8,0.0,0.004,,,0.7078
Thomas J Urban,11,1427,8,0.0,0.006,,,0.9006
Gregory T Jones,9,1894,8,0.0,0.029,,,0.9279
Emily White,16,418,8,0.0,0.032,,,0.6863
Steven P Hamilton,8,611,8,0.0,0.019,,,0.7589
Emmanouil T Dermitzakis,8,1004,8,0.0,0.034,,,0.8509
Rene S Kahn,9,976,8,0.0,0.039,,,0.8463
Graham J Mann,8,565,8,0.0,0.009,,,0.7457
Graham A Hitman,8,3801,8,0.0,0.04,,,0.9693
M Lathrop,10,1273,8,0.001,0.012,,,0.8822
H Rob Taal,8,377,8,0.0,0.02,,,0.6644
Richard A Jensen,12,290,8,0.0,0.045,,,0.6027
Stephanie Weinstein,11,1205,8,0.0,0.032,,,0.8759
Nicholette D Palmer,14,994,8,0.0,0.071,,,0.849
Stephane Bezieau,11,724,8,0.0,0.021,,,0.7909
Elaine A Ostrander,10,737,8,0.0,0.023,,,0.7934
Elaine M Dennison,8,1279,8,0.0,0.033,,,0.883
Stephanie J Weinstein,13,694,8,0.0,0.033,,,0.7816
Natalia V Bogdanova,8,1113,8,0.0,0.056,,,0.8659
Harald H H Goring,10,553,8,0.0,0.027,,,0.7415
Eleonora Fabianova,10,1123,8,0.0,0.018,,,0.8669
Alejandro Arias Vasquez,9,723,8,0.0,0.026,,,0.7908
Thomas Sparso,8,2251,8,0.0,0.054,,,0.9412
Hansjorg Baurecht,10,338,8,0.0,0.02,,,0.6422
Hans L Hillege,9,897,8,0.0,0.056,,,0.8319
Elinor J Sawyer,8,891,8,0.0,0.054,,,0.8307
Han Chen,11,1425,8,0.0,0.045,,,0.9001
Haiqing Shen,10,1318,8,0.0,0.011,,,0.887
Stephen O'Rahilly,8,2450,8,0.0,0.037,,,0.9469
Hafdis T Helgadottir,8,406,8,0.0,0.013,,,0.6796
M Luciano,8,482,8,0.001,0.012,,,0.7156
Engilbert Sigurdsson,8,1589,8,0.0,0.03,,,0.9128
Lauren Gianniny,8,3683,8,0.0,0.024,,,0.968
Thomas Bettecken,9,626,8,0.0,0.02,,,0.7654
Yu-Fang Pei,15,334,8,0.0,0.005,,,0.6395
Gavin Lucas,9,3170,8,0.0,0.063,,,0.9608
Gangqiao Zhou,10,377,8,0.0,0.009,,,0.6644
Suzanne Kolb,8,686,8,0.0,0.029,,,0.7788
Gang Chen,14,267,8,0.0,0.012,,,0.5845
Lorraine Southam,11,332,8,0.0,0.047,,,0.6378
Fang-Chi Hsu,14,190,8,0.0,0.043,,,0.5001
Li-E Wang,8,297,8,0.0,0.013,,,0.6076
Sven J van der Lee,10,578,8,0.0,0.077,,,0.75
Sylvain Sebert,10,735,8,0.0,0.067,,,0.7927
Li Liu,11,501,8,0.0,0.02,,,0.7218
Fernando D Martinez,10,402,8,0.0,0.01,,,0.6777
Fridbert Jonasson,10,784,8,0.0,0.016,,,0.809
Alison Goate,11,1179,8,0.0,0.011,,,0.8734
Fredrik Nyberg,10,1210,8,0.0,0.048,,,0.8763
Franziska Degenhardt,11,637,8,0.0,0.03,,,0.7674
Ramnik J Xavier,9,3384,8,0.0,0.016,,,0.964
Franco Giulianini,11,392,8,0.0,0.065,,,0.6721
Younghun Han,12,435,8,0.0,0.021,,,0.6935
Allan I Levey,8,2087,8,0.0,0.037,,,0.9355
Eve Roman,10,374,8,0.0,0.015,,,0.6627
Graciela Delgado,10,1553,8,0.0,0.076,,,0.9105
Sungeun Kim,12,650,8,0.0,0.029,,,0.7695
Subra Kugathasan,9,2710,8,0.0,0.016,,,0.9533
Eric J Duell,11,675,8,0.0,0.026,,,0.7764
Gitte Andersen,8,2557,8,0.0,0.016,,,0.9499
Giovanni Malerba,9,633,8,0.0,0.047,,,0.7666
Lee M Kaplan,8,4094,8,0.0,0.058,,,0.972
Therese Truong,11,958,8,0.0,0.067,,,0.8428
Giorgio B Boncoraglio,10,525,8,0.0,0.025,,,0.7307
Giorgia Girotto,11,369,8,0.0,0.05,,,0.6599
Erik Melen,11,243,8,0.0,0.033,,,0.5623
Li Hsu,14,477,8,0.0,0.021,,,0.713
Alexandra Nieters,9,333,8,0.0,0.017,,,0.6385
Ervin R Fox,14,941,8,0.0,0.049,,,0.8394
Gerald G Krueger,8,785,8,0.0,0.008,,,0.8093
Natsuhiko Kumasaka,8,282,8,0.0,0.007,,,0.5957
Estrid Hogdall,10,708,8,0.0,0.033,,,0.7861
Susan M Farrington,11,1304,8,0.0,0.034,,,0.8859
George J Papanicolaou,11,528,8,0.0,0.031,,,0.7325
Alexis Brice,9,1573,8,0.0,0.044,,,0.9118
Heinz-Erich Wichmann,9,353,8,0.0,0.028,,,0.6495
Tie-Lin Yang,10,239,8,0.0,0.005,,,0.5586
Jae H Kang,12,367,8,0.0,0.019,,,0.6587
Nick Hastie,8,903,8,0.0,0.024,,,0.8333
Simin Liu,8,353,8,0.0,0.035,,,0.6495
Simon A Gayther,9,787,8,0.0,0.041,,,0.8099
Robert F Krueger,8,768,8,0.0,0.036,,,0.8038
Deborah Thompson,9,1005,8,0.0,0.031,,,0.8511
Debra T Silverman,8,416,8,0.0,0.019,,,0.6855
Robert E Schoen,13,394,8,0.0,0.02,,,0.6732
Delilah Zabaneh,11,1404,8,0.0,0.044,,,0.8984
Tracy Lightfoot,9,374,8,0.0,0.015,,,0.6627
Keun-Young Yoo,9,1837,8,0.0,0.035,,,0.9258
Anders M Dale,16,666,8,0.0,0.045,,,0.7739
Rajkumar Dorajoo,16,1063,8,0.0,0.068,,,0.8597
Denise Anderson,9,1493,8,0.0,0.044,,,0.9062
Simon Mead,9,1560,8,0.0,0.034,,,0.9108
Dennis O Mook-Kanamori,18,458,8,0.0,0.059,,,0.7038
Toshimasa Yamauchi,8,787,8,0.0,0.028,,,0.8099
Derek W Morris,8,1679,8,0.0,0.041,,,0.9175
Dermot P B McGovern,11,1400,8,0.0,0.013,,,0.898
Derrek P Hibar,9,676,8,0.0,0.029,,,0.7768
Anbupalam Thalamuthu,13,715,8,0.0,0.039,,,0.7884
Deborah A Nickerson,9,1688,8,0.0,0.043,,,0.918
Nicole Vogelzangs,9,1563,8,0.0,0.052,,,0.9111
Silvia Polidoro,8,1300,8,0.0,0.028,,,0.8856
David M Hougaard,12,784,8,0.0,0.041,,,0.809
David Cesarini,9,600,8,0.0,0.033,,,0.7559
Yong Cui,9,778,8,0.0,0.013,,,0.8076
Maria Grazia Piras,8,615,8,0.0,0.021,,,0.7608
Jaana Hartiala,10,590,8,0.0,0.031,,,0.7533
Adrienne Tin,14,490,8,0.0,0.032,,,0.7189
Ulrich Mrowietz,8,550,8,0.0,0.009,,,0.7404
Ke Hao,12,908,8,0.0,0.033,,,0.8339
David J Van Den Berg,9,680,8,0.0,0.035,,,0.7774
David P Dearnaley,8,1001,8,0.0,0.015,,,0.8501
Tsuneyo Mimori,11,680,8,0.0,0.011,,,0.7774
Marguerite R Irvin,14,247,8,0.0,0.049,,,0.567
David S Knopman,10,255,8,0.0,0.043,,,0.5744
J Jeffrey Carr,9,414,8,0.0,0.01,,,0.6844
Shufeng Chen,9,512,8,0.0,0.016,,,0.7261
Tuomas Heikkinen,9,1255,8,0.0,0.041,,,0.8807
Keith L Keene,10,248,8,0.0,0.042,,,0.5677
Kenji Yamashiro,15,384,8,0.0,0.024,,,0.6678
Iva Miljkovic,9,553,8,0.0,0.034,,,0.7415
Kiang Liu,10,421,8,0.0,0.047,,,0.6875
Ilkka Seppala,16,179,8,0.0,0.04,,,0.4853
Ikuyo Kou,9,206,8,0.0,0.005,,,0.5222
Hiroshi Hirose,9,591,8,0.0,0.019,,,0.7535
Timothy R D J Radstake,9,843,8,0.0,0.013,,,0.8209
Amy W Butler,9,303,8,0.0,0.006,,,0.612
Malcolm C Pike,8,617,8,0.0,0.039,,,0.7627
Timothy J Vyse,11,952,8,0.0,0.013,,,0.8409
Timothy Eisen,10,1354,8,0.0,0.014,,,0.8917
Richard Sherva,12,246,8,0.0,0.011,,,0.566
Puya Gharahkhani,13,194,8,0.0,0.023,,,0.5056
Maija Hassinen,8,1517,8,0.0,0.066,,,0.9081
Stefan Bohringer,9,1449,8,0.0,0.071,,,0.9029
Rick Jansen,13,246,8,0.0,0.073,,,0.566
Edith Hofer,14,325,8,0.0,0.074,,,0.6319
Hiroji Iwata,9,1036,8,0.0,0.036,,,0.8553
Magnus Karlsson,11,530,8,0.0,0.049,,,0.7333
Magnus Johannesson,10,604,8,0.0,0.033,,,0.7568
Stefan Enroth,12,327,8,0.0,0.068,,,0.6334
Kristin Thorisdottir,8,716,8,0.0,0.014,,,0.7888
Amy Lloyd,8,371,8,0.0,0.014,,,0.6606
Henrik Flyger,8,1173,8,0.0,0.053,,,0.8727
Dwight Stambolian,10,562,8,0.0,0.022,,,0.7446
Manfred Kayser,11,1364,8,0.0,0.044,,,0.8932
Ignace Vergote,9,620,8,0.0,0.035,,,0.7634
Rob Sladek,8,1515,8,0.0,0.049,,,0.9079
Marc T Goodman,10,686,8,0.0,0.034,,,0.7788
Toru Nabika,8,415,8,0.0,0.023,,,0.685
Diana van Heemst,11,795,8,0.0,0.069,,,0.8121
Akira Meguro,10,353,8,0.001,0.015,,,0.6495
Kimberley Howarth,8,1565,8,0.0,0.015,,,0.9112
Sina A Gharib,11,707,8,0.0,0.037,,,0.7859
Ian H de Boer,12,1062,8,0.0,0.036,,,0.8595
Kirsi H Pietilainen,9,2644,8,0.0,0.047,,,0.9518
Solomon K Musani,15,290,8,0.0,0.048,,,0.6027
Hong Zhang,9,358,8,0.0,0.008,,,0.6521
Manuel Serrano-Rios,8,1548,8,0.0,0.049,,,0.9102
Tom W J Huizinga,9,1362,8,0.0,0.012,,,0.8929
Ko Willems van Dijk,10,1493,8,0.0,0.053,,,0.9062
Koichiro Ohmura,11,680,8,0.0,0.011,,,0.7774
Sophia S Wang,8,342,8,0.0,0.016,,,0.6446
Hongyu Zhao,15,1365,8,0.0,0.013,,,0.8933
Honghuang Lin,15,519,8,0.0,0.076,,,0.7286
Dorine W Swinkels,10,1607,8,0.0,0.023,,,0.9141
Gloria M Petersen,9,668,8,0.0,0.014,,,0.7749
Soren Besenbacher,8,756,8,0.0,0.021,,,0.7988
Charles Rotimi,8,1596,8,0.0,0.035,,,0.9135
Wendy Post,10,870,8,0.0,0.016,,,0.8269
Ans M W van den Ouweland,8,990,8,0.0,0.045,,,0.8485
William J Catalona,9,1520,8,0.0,0.016,,,0.9083
Pascal Guenel,10,1003,8,0.0,0.059,,,0.8505
Chikashi Terao,12,691,8,0.0,0.01,,,0.7803
Peter E H Schwarz,8,3802,8,0.0,0.073,,,0.9694
Mustafa Atalay,9,1595,8,0.0,0.059,,,0.9134
Meilin Wang,9,237,8,0.0,0.008,,,0.557
Bernhard K Kramer,8,545,8,0.0,0.039,,,0.7388
Antje Korner,8,551,8,0.0,0.034,,,0.7408
Xin Sheng,14,480,8,0.0,0.052,,,0.7146
Asa K Hedman,8,1706,8,0.0,0.059,,,0.9188
Peter A Holmans,8,2303,8,0.0,0.032,,,0.9432
Brian L Yaspan,8,913,8,0.001,0.03,,,0.8344
Yael Laitman,8,448,8,0.0,0.051,,,0.6985
Augusto Rendon,8,919,8,0.0,0.038,,,0.8355
Matthew N Cooper,8,3937,8,0.0,0.065,,,0.9703
Benedicte A Lie,11,722,8,0.0,0.024,,,0.7905
Mingfeng Zhang,11,344,8,0.0,0.037,,,0.6451
Yao-Zhong Liu,10,265,8,0.0,0.005,,,0.5827
Meike W Vernooij,11,571,8,0.0,0.035,,,0.7474
Miguel A Gonzalez-Gay,11,938,8,0.0,0.017,,,0.8385
Wei-Hua Jia,11,497,8,0.0,0.015,,,0.7206
Mathieu Lemire,11,398,8,0.0,0.02,,,0.6755
Weiping Jia,9,758,8,0.0,0.032,,,0.7995
Carolyn M Hutter,11,436,8,0.0,0.012,,,0.6939
Xiangfeng Lu,10,455,8,0.0,0.021,,,0.7024
Paul Rutgeerts,8,2691,8,0.0,0.014,,,0.9529
Yalda Jamshidi,9,527,8,0.0,0.039,,,0.7318
Michelle Guy,8,1164,8,0.0,0.02,,,0.8716
Michael Jones,8,858,8,0.0,0.048,,,0.8243
Cezary Cybulski,11,868,8,0.0,0.047,,,0.8264
Bernhard R Winkelmann,9,666,8,0.0,0.046,,,0.7739
Wieland Kiess,8,551,8,0.0,0.034,,,0.7408
Celine Vachon,10,1017,8,0.0,0.051,,,0.8528
N Amin,8,1062,8,0.0,0.019,,,0.8595
Muhammad G Kibriya,11,363,8,0.0,0.044,,,0.6553
Carsten A Boger,10,596,8,0.0,0.054,,,0.7547
Michael Doherty,9,349,8,0.0,0.009,,,0.6472
Yanling Hu,12,252,8,0.0,0.014,,,0.5715
Pei-Ei Wu,8,1802,8,0.0,0.03,,,0.9234
Ariel Darvasi,8,639,8,0.0,0.008,,,0.7679
C M van Duijn,9,1003,8,0.0,0.019,,,0.8505
Mirna Kirin,8,449,8,0.0,0.033,,,0.6988
Beth Y Karlan,9,685,8,0.0,0.045,,,0.7784
Carlo Sidore,9,897,8,0.0,0.033,,,0.8319
Xian-Bo Zuo,10,827,8,0.0,0.017,,,0.8182
Chantal Depondt,9,662,8,0.0,0.03,,,0.7726
Anne E Farmer,10,587,8,0.0,0.013,,,0.7522
Catherine S Healey,11,1616,8,0.0,0.047,,,0.9148
Y Antero Kesaniemi,8,1474,8,0.0,0.043,,,0.9051
Yan-Fang Guo,10,242,8,0.0,0.004,,,0.5611
Anthony J Swerdlow,12,361,8,0.0,0.052,,,0.6541
Catherine M Phelan,9,432,8,0.0,0.051,,,0.692
Bardur Sigurgeirsson,8,716,8,0.0,0.014,,,0.7888
Yanhua Zhou,12,884,8,0.0,0.047,,,0.8293
Paul M Matthews,8,1161,8,0.0,0.01,,,0.8712
Xiang-Ding Chen,12,248,8,0.0,0.005,,,0.5677
Paola Sebastiani,10,359,8,0.0,0.007,,,0.6527
Aniket Mishra,10,229,8,0.0,0.028,,,0.5483
Cheng Hu,10,765,8,0.0,0.033,,,0.8019
Cheng Cheng,11,413,8,0.0,0.004,,,0.6838
Pamela A Madden,10,988,8,0.0,0.046,,,0.8482
Morris A Swertz,9,1473,8,0.0,0.064,,,0.905
Pamela Whittaker,8,2061,8,0.0,0.026,,,0.9345
Xu Wang,8,480,8,0.0,0.057,,,0.7146
Matthias Bluher,10,1502,8,0.0,0.062,,,0.9067
Matthias Durst,12,694,8,0.0,0.038,,,0.7816
Catherine Johnson,8,415,8,0.0,0.003,,,0.685
Veronica Hoiom,7,653,7,0.0,0.013,,,0.7701
D Rujescu,9,1089,7,0.001,0.023,,,0.8621
Verneri Anttila,11,416,7,0.0,0.018,,,0.6855
Abhishek Nag,9,248,7,0.0,0.016,,,0.5677
Jennifer A Pacheco,10,415,7,0.0,0.015,,,0.685
Philip Asherson,9,448,7,0.0,0.005,,,0.6985
John A Hardy,7,1314,7,0.0,0.008,,,0.8867
Liming Qu,7,1359,7,0.0,0.05,,,0.8923
Lindsay M Morton,10,277,7,0.0,0.017,,,0.5921
Dong-Young Noh,9,1511,7,0.0,0.032,,,0.9072
Marion Leboyer,10,547,7,0.001,0.027,,,0.7396
Anne Kricker,7,267,7,0.0,0.013,,,0.5845
Ana Osorio,7,418,7,0.0,0.05,,,0.6863
Iryna O Fedko,11,330,7,0.0,0.035,,,0.6362
Mario Foglio,7,1254,7,0.0,0.014,,,0.8806
Munro Peacock,8,1000,7,0.0,0.04,,,0.8499
Philip R Taylor,8,368,7,0.0,0.017,,,0.6595
Doris Lechner,7,1059,7,0.0,0.019,,,0.8592
Carole Dufouil,7,1022,7,0.0,0.031,,,0.8533
Yataro Daigo,9,564,7,0.0,0.011,,,0.7452
Scott Gordon,8,227,7,0.0,0.008,,,0.5457
Frans B L Hogervorst,7,556,7,0.0,0.045,,,0.7424
Rene Hohn,11,254,7,0.0,0.018,,,0.5729
Marilie D Gammon,7,335,7,0.0,0.045,,,0.6402
Linda E Kelemen,7,542,7,0.0,0.031,,,0.7376
Bruce K Armstrong,8,364,7,0.0,0.017,,,0.656
Oliver S P Davis,9,231,7,0.0,0.016,,,0.5507
Linda S Cook,9,543,7,0.0,0.036,,,0.7381
Frank Hu,7,847,7,0.0,0.05,,,0.8219
Xiaoqing Chen,8,1175,7,0.0,0.043,,,0.873
Robert H Brown,10,325,7,0.0,0.015,,,0.6319
A J Saykin,7,307,7,0.0,0.004,,,0.6201
Juha Kere,9,597,7,0.0,0.013,,,0.7549
Frank D Gilliland,8,524,7,0.0,0.014,,,0.7303
Todd A Johnson,8,205,7,0.0,0.016,,,0.5213
Chao Tian,11,792,7,0.0,0.027,,,0.8112
Honglin Song,8,663,7,0.0,0.032,,,0.773
Alicja R Rudnicka,8,488,7,0.0,0.027,,,0.7181
Donglei Hu,13,395,7,0.0,0.018,,,0.6738
Antti J Kangas,8,1154,7,0.0,0.032,,,0.8703
Jennifer A Brody,18,258,7,0.0,0.082,,,0.5771
Frank D Mentch,12,292,7,0.0,0.022,,,0.6043
Karen L Furie,9,604,7,0.0,0.019,,,0.7568
Johan Sundstrom,9,1473,7,0.0,0.067,,,0.905
Baoshan Ma,7,1056,7,0.0,0.05,,,0.8587
Dragana Vuckovic,10,271,7,0.0,0.051,,,0.5865
Astrid Petersmann,9,1328,7,0.0,0.051,,,0.8882
Jianxin Li,7,201,7,0.0,0.007,,,0.5154
Timothy R Rebbeck,9,631,7,0.0,0.044,,,0.7664
Xinmin Liu,8,861,7,0.0,0.029,,,0.8247
Amy K Kiefer,8,386,7,0.0,0.005,,,0.6688
Kelan G Tantisira,12,251,7,0.0,0.005,,,0.5705
Craig Luccarini,8,845,7,0.0,0.054,,,0.8215
Alan J Gow,7,265,7,0.0,0.033,,,0.5827
Mark Jenkins,8,284,7,0.0,0.024,,,0.5971
Shuo Jiao,10,361,7,0.0,0.012,,,0.6541
Mark J Rieder,7,963,7,0.0,0.006,,,0.8434
Nadine Tung,7,418,7,0.0,0.05,,,0.6863
Alan F Scott,7,409,7,0.0,0.008,,,0.6819
Magdalena Zoledziewska,10,188,7,0.0,0.018,,,0.4975
A Hillary Steinhart,7,3758,7,0.0,0.012,,,0.9688
Benjamin A Rybicki,9,486,7,0.0,0.029,,,0.7167
Lingyi Lu,9,261,7,0.0,0.032,,,0.5792
Xiangyang Kong,7,658,7,0.0,0.004,,,0.7712
John E Landers,11,336,7,0.0,0.017,,,0.6409
Ying A Wang,7,265,7,0.0,0.016,,,0.5827
Keizo Ohnaka,9,934,7,0.0,0.037,,,0.8376
Robert L Hanson,11,254,7,0.0,0.024,,,0.5729
Michael O'Donovan,10,2046,7,0.0,0.022,,,0.9339
Bryan Kestenbaum,8,508,7,0.0,0.025,,,0.7246
Eimear E Kenny,8,239,7,0.0,0.008,,,0.5586
Lisa Jones,8,905,7,0.0,0.012,,,0.8335
Takayoshi Ohkubo,8,835,7,0.0,0.039,,,0.8194
Conxi Lazaro,7,418,7,0.0,0.05,,,0.6863
John J Voorhees,7,838,7,0.0,0.007,,,0.8201
Wiro J Niessen,8,355,7,0.0,0.03,,,0.6504
Kristel Sleegers,7,2312,7,0.0,0.028,,,0.9435
Juan C Celedon,12,461,7,0.0,0.009,,,0.7053
Vilmantas Giedraitis,7,1405,7,0.0,0.073,,,0.8985
Takashi Morizono,8,250,7,0.0,0.006,,,0.5696
