Broader,N (Initial),N (Replication),Total,% Discovery,% Replication,% Total
African,361817,136576,498393,0.3071314472715395,0.2512283472457849,0.2894796954556486
African Am./Caribbean,2258708,1015713,3274421,1.9173235558412247,1.8683802298065395,1.9018693959858592
Asian,11018150,9013536,20031686,9.35285062823171,16.580187969484996,11.634927382092403
European,94342989,37652655,131995644,80.08385109459458,69.2611753533984,76.66652386087327
Hispanic/Latin American,1502967,665219,2168186,1.2758063604290675,1.2236547411440792,1.2593391620090992
In Part Not Recorded,7762814,5022605,12785419,6.589530891914334,9.23896404213343,7.426105901152029
Other/Mixed,557815,856988,1414803,0.4735060217175362,1.5764093167867759,0.8217546024316914
